student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,math_score,science_score,english_score,overall_score,final_grade,average_score,risk_category,performance_level
15,18,other,public,high school,4.9,85.3,yes,<15 min,no,coaching,88.1,66.1,70.3,69.3,d,74.83333333333333,Safe,Medium
16,18,other,private,post graduate,5.0,94.4,yes,15-30 min,yes,coaching,66.4,76.9,76.1,73.7,c,73.13333333333334,Safe,Medium
17,17,other,private,phd,2.3,67.3,yes,<15 min,yes,mixed,63.1,46.3,57.1,53.5,e,55.5,Needs Improvement,Medium
18,14,female,public,post graduate,0.9,93.2,yes,15-30 min,yes,online videos,57.2,50.5,54.1,49.8,e,53.93333333333334,Needs Improvement,Medium
19,19,male,public,post graduate,4.5,73.8,yes,30-60 min,yes,online videos,38.7,69.9,58.3,59.2,d,55.63333333333333,Needs Improvement,Medium
20,16,female,public,post graduate,4.4,59.5,yes,<15 min,no,mixed,49.9,53.9,60.4,61.9,d,54.73333333333333,Safe,Medium
21,17,male,private,phd,5.4,99.8,yes,>60 min,no,textbook,84.9,77.6,77.6,81.3,c,80.03333333333333,Safe,High
22,16,female,public,diploma,2.1,97.4,yes,>60 min,yes,group study,76.7,31.9,39.3,55.0,d,49.29999999999999,Needs Improvement,Low
23,15,other,public,high school,1.8,56.2,no,30-60 min,yes,online videos,41.3,35.2,19.9,33.5,f,32.13333333333333,At Risk,Low
24,19,female,public,phd,7.8,72.8,yes,15-30 min,yes,notes,100.0,100.0,100.0,94.6,b,100.0,Safe,High
25,18,male,public,no formal,1.4,99.3,yes,<15 min,no,mixed,38.9,31.2,57.3,41.4,e,42.46666666666666,Needs Improvement,Low
26,17,male,private,diploma,8.0,77.4,yes,>60 min,no,coaching,100.0,87.7,69.3,92.5,b,85.66666666666667,Safe,High
27,16,other,public,post graduate,5.9,74.9,yes,15-30 min,no,textbook,94.6,92.8,86.9,82.5,c,91.43333333333332,Safe,High
28,18,other,private,post graduate,5.2,59.8,yes,<15 min,yes,textbook,42.9,89.9,63.4,75.4,c,65.4,Safe,Medium
29,17,female,private,post graduate,3.0,71.0,yes,15-30 min,no,mixed,40.5,44.5,68.1,45.1,e,51.03333333333333,Needs Improvement,Medium
30,16,other,public,diploma,7.0,74.9,yes,>60 min,yes,textbook,76.1,73.5,71.7,82.6,c,73.76666666666667,Safe,Medium
31,16,other,private,phd,7.3,85.7,yes,30-60 min,yes,group study,79.6,86.0,95.4,90.4,b,87.0,Safe,High
32,15,female,private,high school,5.9,72.5,yes,>60 min,yes,textbook,79.3,82.5,77.4,77.1,c,79.73333333333333,Safe,High
33,14,male,private,no formal,5.8,81.7,yes,30-60 min,yes,notes,94.5,72.1,84.8,78.8,c,83.8,Safe,High
34,17,other,public,graduate,4.2,55.1,no,15-30 min,no,coaching,60.5,57.4,72.9,62.2,d,63.6,Safe,Medium
35,19,female,public,high school,1.1,88.2,yes,30-60 min,no,coaching,39.8,39.6,36.5,46.9,e,38.63333333333333,Needs Improvement,Low
36,14,other,private,diploma,8.0,50.2,yes,30-60 min,no,online videos,93.1,99.8,100.0,90.4,b,97.63333333333333,Safe,High
37,19,other,public,diploma,0.6,82.1,yes,>60 min,no,coaching,45.9,43.5,35.0,42.0,e,41.46666666666667,Needs Improvement,Low
38,18,female,public,high school,4.2,91.3,yes,15-30 min,no,notes,82.4,73.5,61.7,79.0,c,72.53333333333335,Safe,Medium
39,15,female,private,phd,3.3,88.3,yes,15-30 min,yes,notes,53.5,67.4,61.7,66.5,d,60.866666666666674,Safe,Medium
40,17,male,public,diploma,6.3,57.4,yes,<15 min,yes,notes,78.1,70.0,63.8,65.4,d,70.63333333333333,Safe,Medium
41,14,other,private,post graduate,6.0,92.2,yes,15-30 min,yes,textbook,72.8,72.5,100.0,88.7,b,81.76666666666667,Safe,High
42,18,male,private,no formal,5.2,54.0,yes,30-60 min,yes,notes,42.8,58.2,60.1,53.9,e,53.699999999999996,Needs Improvement,Medium
43,18,female,public,phd,1.1,53.3,yes,15-30 min,no,group study,31.4,36.4,29.0,23.7,f,32.266666666666666,At Risk,Low
44,16,female,private,phd,2.3,91.1,yes,30-60 min,no,mixed,76.4,56.2,56.4,63.6,d,63.00000000000001,Safe,Medium
45,14,male,private,no formal,1.2,59.1,yes,<15 min,no,group study,37.5,35.0,54.0,42.3,e,42.166666666666664,Needs Improvement,Low
46,19,female,private,graduate,7.8,72.4,yes,30-60 min,no,mixed,77.3,94.5,88.0,83.5,c,86.60000000000001,Safe,High
47,16,other,public,graduate,1.5,96.8,yes,>60 min,no,coaching,42.4,29.9,53.9,48.7,e,42.06666666666666,Needs Improvement,Low
48,19,male,private,high school,7.8,60.4,yes,>60 min,yes,online videos,85.1,100.0,100.0,96.3,a,95.03333333333335,Safe,High
49,18,male,private,post graduate,1.3,89.0,yes,15-30 min,yes,coaching,31.5,26.9,32.6,37.5,f,30.333333333333332,At Risk,Low
50,18,male,private,post graduate,7.0,79.2,no,30-60 min,no,coaching,86.6,91.1,100.0,95.9,a,92.56666666666666,Safe,High
51,18,male,public,phd,4.8,70.3,yes,>60 min,yes,textbook,66.9,66.7,82.8,76.2,c,72.13333333333334,Safe,Medium
52,15,male,private,graduate,6.7,73.0,yes,15-30 min,no,notes,87.1,78.6,99.8,90.4,b,88.5,Safe,High
53,16,female,public,post graduate,5.3,70.5,yes,15-30 min,yes,notes,77.9,80.5,79.9,77.0,c,79.43333333333334,Safe,High
54,16,other,public,post graduate,6.3,91.4,no,>60 min,yes,coaching,95.8,93.3,85.2,88.4,b,91.43333333333334,Safe,High
55,16,other,private,post graduate,6.0,90.7,yes,>60 min,yes,online videos,91.9,85.6,100.0,92.5,b,92.5,Safe,High
56,14,other,public,graduate,2.5,68.7,yes,>60 min,no,online videos,39.3,25.2,39.2,39.5,f,34.56666666666667,At Risk,Low
57,17,other,public,post graduate,7.5,84.9,no,>60 min,yes,textbook,83.4,81.5,79.5,86.2,b,81.46666666666667,Safe,High
58,14,female,private,no formal,5.3,76.6,yes,15-30 min,no,online videos,67.8,81.5,67.3,76.9,c,72.2,Safe,Medium
59,18,other,public,graduate,2.0,87.4,yes,15-30 min,no,online videos,39.8,40.9,59.9,41.1,e,46.86666666666667,Needs Improvement,Low
60,18,male,private,high school,2.8,52.5,yes,>60 min,yes,notes,51.3,48.7,53.4,46.2,e,51.13333333333333,Needs Improvement,Medium
61,19,other,public,diploma,4.5,66.8,yes,15-30 min,no,mixed,69.7,61.7,53.0,65.1,d,61.46666666666667,Safe,Medium
62,18,male,private,post graduate,7.1,66.8,yes,>60 min,no,online videos,78.9,63.1,83.9,85.8,b,75.3,Safe,High
63,16,other,private,no formal,6.5,79.8,yes,30-60 min,yes,coaching,76.1,61.2,76.7,77.4,c,71.33333333333333,Safe,Medium
64,19,male,public,post graduate,2.8,60.4,yes,30-60 min,yes,group study,62.7,65.5,47.6,54.9,e,58.599999999999994,Needs Improvement,Medium
65,16,male,private,high school,5.7,76.6,yes,30-60 min,no,group study,84.1,83.3,88.2,80.9,c,85.19999999999999,Safe,High
66,15,female,public,post graduate,0.5,99.0,yes,>60 min,no,notes,32.1,28.5,38.0,39.2,f,32.86666666666667,At Risk,Low
67,19,other,private,post graduate,3.0,52.2,yes,<15 min,yes,notes,33.8,45.9,47.3,46.9,e,42.33333333333333,Needs Improvement,Low
68,16,male,public,no formal,6.8,75.2,no,<15 min,yes,online videos,57.3,100.0,71.8,82.4,c,76.36666666666667,Safe,High
69,14,male,private,high school,1.6,56.9,yes,15-30 min,yes,group study,54.0,34.8,35.3,40.8,e,41.36666666666667,Needs Improvement,Low
70,16,female,private,post graduate,3.2,79.1,yes,15-30 min,no,notes,80.1,57.2,47.2,57.1,d,61.5,Needs Improvement,Medium
71,18,other,public,diploma,0.5,62.0,no,15-30 min,no,group study,32.0,30.9,51.4,24.6,f,38.1,At Risk,Low
72,15,other,public,diploma,0.7,95.1,yes,<15 min,yes,group study,41.4,43.6,23.8,50.0,e,36.266666666666666,Needs Improvement,Low
73,16,female,private,no formal,1.6,65.9,yes,30-60 min,yes,coaching,33.9,62.8,30.7,37.1,f,42.46666666666666,At Risk,Low
74,14,female,private,post graduate,1.3,97.9,yes,<15 min,yes,group study,53.1,58.0,59.5,59.5,d,56.86666666666667,Needs Improvement,Medium
75,18,female,private,no formal,4.2,50.2,no,30-60 min,yes,group study,48.3,63.2,46.5,51.5,e,52.666666666666664,Needs Improvement,Medium
76,16,other,public,high school,7.3,91.6,yes,>60 min,yes,online videos,99.6,100.0,99.1,96.4,a,99.56666666666666,Safe,High
77,15,male,private,diploma,1.1,63.1,no,>60 min,yes,group study,36.6,40.0,23.7,32.0,f,33.43333333333333,At Risk,Low
78,15,male,public,post graduate,7.0,60.1,yes,<15 min,yes,group study,71.2,87.5,84.0,80.7,c,80.89999999999999,Safe,High
79,17,male,private,diploma,5.5,94.2,yes,<15 min,yes,group study,94.7,75.8,100.0,91.5,b,90.16666666666667,Safe,High
80,18,male,private,phd,1.8,65.2,no,15-30 min,no,mixed,5.9,19.0,12.8,32.7,f,12.566666666666668,At Risk,Low
81,19,female,private,graduate,2.7,79.2,yes,30-60 min,yes,textbook,74.0,75.2,54.3,59.6,d,67.83333333333333,Needs Improvement,Medium
82,16,other,public,high school,2.0,86.8,yes,15-30 min,no,mixed,44.8,48.9,54.0,58.5,d,49.23333333333333,Needs Improvement,Low
83,14,female,public,high school,6.4,71.0,yes,<15 min,no,mixed,83.6,100.0,98.5,83.0,c,94.03333333333335,Safe,High
84,18,female,private,post graduate,5.9,55.1,no,<15 min,no,group study,74.1,55.2,72.0,69.1,d,67.10000000000001,Safe,Medium
85,17,male,public,diploma,2.8,96.1,yes,<15 min,yes,notes,63.8,57.9,53.0,61.7,d,58.23333333333333,Safe,Medium
86,18,female,public,graduate,0.9,82.4,yes,>60 min,no,online videos,49.0,45.7,45.0,43.9,e,46.56666666666666,Needs Improvement,Low
87,14,male,public,diploma,1.8,94.6,yes,>60 min,yes,online videos,74.3,57.7,46.7,61.3,d,59.56666666666666,Safe,Medium
88,15,other,private,high school,5.2,88.4,no,>60 min,yes,textbook,67.7,81.7,89.5,73.9,c,79.63333333333334,Safe,High
89,18,female,public,graduate,1.2,88.7,no,30-60 min,yes,notes,55.6,73.1,57.4,53.4,e,62.03333333333333,Needs Improvement,Medium
90,18,female,private,high school,4.5,79.5,yes,<15 min,no,group study,57.0,56.1,62.6,63.4,d,58.56666666666666,Safe,Medium
91,16,other,public,phd,5.1,50.3,yes,30-60 min,no,group study,71.3,50.2,63.1,59.9,d,61.53333333333333,Needs Improvement,Medium
92,18,male,private,post graduate,5.7,94.1,yes,30-60 min,yes,textbook,80.5,86.2,79.4,82.0,c,82.03333333333333,Safe,High
93,19,female,public,post graduate,1.4,91.5,yes,30-60 min,yes,group study,40.0,46.1,31.2,41.3,e,39.1,Needs Improvement,Low
94,16,female,public,high school,3.9,86.4,no,30-60 min,no,online videos,57.3,49.7,54.7,59.5,d,53.9,Needs Improvement,Medium
95,19,male,private,no formal,4.0,93.9,yes,<15 min,no,group study,80.2,93.9,87.6,76.8,c,87.23333333333335,Safe,High
96,15,male,public,no formal,6.8,59.2,yes,30-60 min,no,notes,86.9,79.9,88.2,87.9,b,85.0,Safe,High
97,15,male,public,phd,4.0,64.1,yes,>60 min,yes,group study,65.6,73.9,70.1,66.6,d,69.86666666666666,Safe,Medium
98,18,male,private,phd,3.6,57.9,yes,15-30 min,no,group study,42.3,46.6,57.5,46.2,e,48.800000000000004,Needs Improvement,Low
99,17,other,private,post graduate,1.4,82.3,yes,15-30 min,no,coaching,37.2,50.4,48.3,39.9,f,45.29999999999999,At Risk,Low
100,14,male,private,graduate,5.7,71.9,no,<15 min,no,group study,67.8,57.0,61.6,66.9,d,62.13333333333333,Safe,Medium
101,18,male,public,high school,5.1,55.1,yes,30-60 min,yes,textbook,76.8,73.0,74.8,66.8,d,74.86666666666667,Safe,Medium
102,15,other,private,post graduate,5.9,78.8,yes,<15 min,yes,coaching,72.3,48.8,70.5,68.8,d,63.86666666666667,Safe,Medium
103,18,female,public,graduate,5.4,66.9,yes,30-60 min,yes,mixed,68.7,72.3,64.8,73.5,c,68.60000000000001,Safe,Medium
104,14,other,private,graduate,7.1,74.5,yes,30-60 min,no,online videos,77.9,75.6,89.0,81.9,c,80.83333333333333,Safe,High
105,18,other,private,no formal,7.1,63.1,yes,15-30 min,yes,notes,100.0,90.8,96.0,86.4,b,95.60000000000001,Safe,High
106,18,male,private,graduate,2.8,58.1,yes,15-30 min,no,group study,24.0,58.0,23.3,39.3,f,35.1,At Risk,Low
107,18,female,private,post graduate,1.9,72.5,yes,<15 min,yes,textbook,39.3,44.8,42.7,52.9,e,42.266666666666666,Needs Improvement,Low
108,17,male,private,post graduate,7.4,61.3,no,30-60 min,yes,textbook,68.3,78.7,66.9,75.9,c,71.3,Safe,Medium
109,16,female,public,no formal,5.8,70.3,yes,<15 min,no,mixed,71.6,60.4,85.2,65.2,d,72.39999999999999,Safe,Medium
110,18,other,private,no formal,7.8,69.1,no,30-60 min,no,online videos,73.4,96.5,74.7,82.4,c,81.53333333333335,Safe,High
111,15,other,private,phd,4.2,97.0,yes,30-60 min,yes,online videos,58.0,71.2,49.0,67.3,d,59.4,Safe,Medium
112,18,other,private,high school,7.7,59.3,yes,30-60 min,yes,online videos,98.5,85.1,76.7,88.9,b,86.76666666666667,Safe,High
113,17,male,public,diploma,1.4,64.3,yes,>60 min,no,group study,21.1,43.7,43.6,35.7,f,36.13333333333333,At Risk,Low
114,16,male,private,graduate,4.9,89.6,yes,30-60 min,yes,group study,81.1,63.6,67.7,74.2,c,70.8,Safe,Medium
115,17,female,public,diploma,4.2,64.8,yes,15-30 min,yes,mixed,73.7,64.0,52.8,61.3,d,63.5,Safe,Medium
116,17,male,private,phd,0.5,74.0,yes,<15 min,no,textbook,44.4,35.1,20.1,37.1,f,33.199999999999996,At Risk,Low
117,14,female,private,phd,1.9,88.1,yes,15-30 min,no,mixed,57.0,61.8,63.6,54.8,e,60.800000000000004,Needs Improvement,Medium
118,14,other,private,diploma,1.7,50.2,no,30-60 min,yes,coaching,39.2,12.8,40.9,32.1,f,30.96666666666667,At Risk,Low
119,15,male,private,high school,1.0,97.8,yes,15-30 min,yes,mixed,65.9,32.0,41.9,39.6,f,46.6,At Risk,Low
120,14,other,public,phd,7.6,73.1,yes,15-30 min,no,online videos,82.3,79.1,72.6,81.9,c,77.99999999999999,Safe,High
121,16,other,public,post graduate,7.7,88.0,yes,30-60 min,no,group study,92.4,76.4,86.1,92.0,b,84.96666666666667,Safe,High
122,18,other,public,post graduate,7.2,96.0,yes,<15 min,no,notes,100.0,71.6,83.4,89.4,b,85.0,Safe,High
123,17,male,private,diploma,7.9,93.8,yes,>60 min,yes,coaching,92.7,100.0,95.8,98.4,a,96.16666666666667,Safe,High
124,16,male,private,diploma,6.7,61.0,yes,>60 min,no,group study,85.3,86.2,80.0,87.8,b,83.83333333333333,Safe,High
125,19,male,private,high school,7.5,77.8,no,<15 min,no,mixed,100.0,100.0,76.9,87.1,b,92.3,Safe,High
126,17,male,private,diploma,2.0,70.5,no,>60 min,no,group study,62.7,52.9,52.8,53.1,e,56.133333333333326,Needs Improvement,Medium
127,14,male,private,graduate,2.4,76.6,no,30-60 min,no,notes,40.3,64.6,67.1,52.7,e,57.333333333333336,Needs Improvement,Medium
128,18,female,public,no formal,7.0,89.0,yes,>60 min,no,mixed,83.8,71.4,71.2,82.6,c,75.46666666666665,Safe,High
129,17,male,private,graduate,4.1,67.7,yes,>60 min,no,online videos,72.3,71.7,66.9,65.0,d,70.3,Safe,Medium
130,17,male,private,graduate,5.9,73.9,yes,15-30 min,yes,textbook,80.4,66.8,92.5,81.1,c,79.89999999999999,Safe,High
131,17,other,public,phd,4.7,80.4,yes,>60 min,yes,online videos,72.7,78.1,75.3,73.8,c,75.36666666666667,Safe,High
132,17,other,private,no formal,2.8,63.5,yes,>60 min,no,mixed,27.5,63.3,41.9,40.6,e,44.23333333333333,Needs Improvement,Low
133,14,other,private,high school,2.6,80.3,yes,30-60 min,yes,group study,49.8,39.9,35.2,43.3,e,41.63333333333333,Needs Improvement,Low
134,17,male,private,diploma,6.1,57.4,yes,15-30 min,no,group study,99.2,81.5,86.3,78.3,c,89.0,Safe,High
135,18,female,private,phd,4.5,81.1,yes,<15 min,no,coaching,77.4,70.7,84.0,73.4,c,77.36666666666667,Safe,High
136,15,female,private,high school,3.2,57.2,yes,15-30 min,yes,mixed,59.8,53.9,63.5,50.1,e,59.06666666666666,Needs Improvement,Medium
137,17,male,public,phd,5.1,88.8,no,15-30 min,yes,textbook,72.8,80.9,87.6,81.6,c,80.43333333333332,Safe,High
138,14,other,public,phd,3.6,59.7,no,15-30 min,no,coaching,43.6,78.1,50.4,54.2,e,57.36666666666667,Needs Improvement,Medium
139,16,female,private,no formal,4.1,82.3,yes,>60 min,no,textbook,59.7,71.3,67.0,67.6,d,66.0,Safe,Medium
140,16,other,public,diploma,5.6,79.1,yes,30-60 min,yes,mixed,88.7,76.9,76.4,85.7,b,80.66666666666667,Safe,High
141,19,male,private,high school,3.9,71.3,yes,15-30 min,no,mixed,53.8,46.4,54.2,52.6,e,51.46666666666666,Needs Improvement,Medium
142,15,female,public,diploma,7.6,82.3,yes,<15 min,yes,group study,73.5,100.0,92.8,89.7,b,88.76666666666667,Safe,High
143,15,male,private,phd,4.1,92.3,yes,30-60 min,yes,online videos,58.5,59.0,66.5,62.0,d,61.333333333333336,Safe,Medium
144,16,other,private,diploma,7.7,56.0,yes,<15 min,no,mixed,79.1,91.3,92.0,78.7,c,87.46666666666665,Safe,High
145,19,female,private,graduate,6.9,83.8,no,30-60 min,no,group study,99.1,100.0,96.2,95.6,a,98.43333333333334,Safe,High
146,19,male,public,no formal,7.2,70.5,yes,15-30 min,yes,textbook,90.9,86.7,82.9,90.2,b,86.83333333333333,Safe,High
147,14,male,private,graduate,6.2,83.7,no,30-60 min,yes,mixed,93.3,78.5,82.8,84.5,c,84.86666666666667,Safe,High
148,15,female,private,diploma,5.0,93.8,yes,15-30 min,yes,coaching,58.1,77.1,74.9,71.7,c,70.03333333333333,Safe,Medium
149,18,male,public,phd,4.5,82.6,yes,<15 min,yes,textbook,87.0,58.0,76.3,68.7,d,73.76666666666667,Safe,Medium
150,14,male,private,post graduate,4.6,58.0,yes,15-30 min,no,group study,41.0,73.1,57.3,61.2,d,57.133333333333326,Safe,Medium
151,19,other,public,high school,2.0,70.8,yes,30-60 min,no,group study,47.8,30.8,32.8,36.9,f,37.13333333333333,At Risk,Low
152,15,other,private,graduate,2.1,77.5,yes,30-60 min,no,group study,52.8,37.9,45.6,39.3,f,45.43333333333333,At Risk,Low
153,19,female,public,diploma,0.8,56.3,yes,>60 min,no,notes,12.8,26.2,14.7,22.6,f,17.900000000000002,At Risk,Low
154,15,other,private,diploma,6.1,82.2,yes,<15 min,yes,mixed,100.0,91.6,92.1,87.5,b,94.56666666666666,Safe,High
155,16,female,private,diploma,1.4,85.7,yes,30-60 min,yes,mixed,45.4,37.1,55.7,46.8,e,46.06666666666666,Needs Improvement,Low
156,17,male,private,post graduate,4.9,88.1,yes,30-60 min,no,coaching,75.8,57.7,77.6,77.5,c,70.36666666666666,Safe,Medium
157,14,other,private,high school,1.5,56.0,yes,<15 min,no,coaching,35.6,20.4,33.1,26.5,f,29.7,At Risk,Low
158,17,male,private,no formal,1.0,85.3,no,15-30 min,no,mixed,39.8,41.5,27.9,38.4,f,36.4,At Risk,Low
159,17,other,private,high school,4.5,68.3,yes,<15 min,no,coaching,53.4,67.8,55.6,58.1,d,58.93333333333333,Needs Improvement,Medium
160,18,female,public,post graduate,7.0,60.6,yes,<15 min,yes,group study,82.7,71.7,77.0,86.0,b,77.13333333333334,Safe,High
161,19,male,private,high school,3.2,76.2,no,15-30 min,no,group study,51.0,48.2,54.2,48.9,e,51.13333333333333,Needs Improvement,Medium
162,17,male,public,no formal,7.4,78.6,yes,<15 min,no,online videos,80.1,69.3,61.2,86.0,b,70.19999999999999,Safe,Medium
163,16,other,private,diploma,0.6,72.8,yes,30-60 min,yes,group study,43.3,13.9,45.8,37.8,f,34.333333333333336,At Risk,Low
164,16,other,private,phd,4.0,92.0,yes,<15 min,yes,textbook,67.0,93.9,65.3,71.9,c,75.39999999999999,Safe,High
165,16,female,private,phd,1.6,57.8,no,<15 min,yes,coaching,39.0,38.4,35.6,43.4,e,37.666666666666664,Needs Improvement,Low
166,18,male,public,phd,2.9,70.4,yes,>60 min,no,group study,54.1,59.9,70.7,58.3,d,61.56666666666666,Needs Improvement,Medium
167,15,other,public,post graduate,0.7,63.4,yes,30-60 min,no,group study,18.0,45.5,36.2,37.8,f,33.233333333333334,At Risk,Low
168,15,other,private,post graduate,0.8,52.4,yes,15-30 min,no,notes,29.6,50.3,27.8,32.4,f,35.9,At Risk,Low
169,16,female,private,post graduate,5.8,67.0,yes,>60 min,yes,textbook,70.4,64.0,69.2,66.2,d,67.86666666666667,Safe,Medium
170,14,female,public,no formal,5.4,85.9,yes,>60 min,no,group study,95.2,71.2,80.1,78.4,c,82.16666666666667,Safe,High
171,14,other,public,diploma,2.1,76.2,no,<15 min,no,mixed,54.8,33.5,38.2,39.6,f,42.166666666666664,At Risk,Low
172,14,female,private,graduate,7.3,70.9,yes,15-30 min,yes,group study,86.9,84.2,97.3,86.7,b,89.46666666666668,Safe,High
173,18,male,private,diploma,5.7,73.7,yes,30-60 min,no,coaching,80.7,80.6,58.2,80.8,c,73.16666666666667,Safe,Medium
174,18,male,public,post graduate,3.0,65.6,yes,<15 min,yes,online videos,43.7,50.5,39.8,50.5,e,44.666666666666664,Needs Improvement,Low
175,18,female,public,phd,3.6,56.1,yes,30-60 min,no,mixed,55.8,42.0,37.8,48.2,e,45.199999999999996,Needs Improvement,Low
176,16,other,private,graduate,2.7,79.5,yes,<15 min,no,notes,50.8,52.3,79.3,63.4,d,60.79999999999999,Safe,Medium
177,18,other,public,no formal,6.7,90.8,yes,>60 min,no,group study,77.3,100.0,99.8,86.1,b,92.36666666666667,Safe,High
178,14,female,public,diploma,4.2,89.5,yes,15-30 min,yes,online videos,48.0,62.7,64.5,63.1,d,58.4,Safe,Medium
179,19,male,public,high school,1.5,61.7,yes,30-60 min,no,textbook,35.8,28.0,36.3,36.9,f,33.36666666666667,At Risk,Low
180,17,female,private,diploma,2.0,71.7,yes,>60 min,yes,textbook,45.7,24.3,40.3,43.7,e,36.766666666666666,Needs Improvement,Low
181,19,male,public,high school,2.7,77.6,yes,30-60 min,yes,coaching,38.0,51.5,59.8,49.5,e,49.76666666666667,Needs Improvement,Low
182,14,female,public,no formal,3.5,90.1,yes,30-60 min,yes,online videos,49.9,56.9,47.5,59.5,d,51.43333333333334,Needs Improvement,Medium
183,16,female,public,high school,4.9,59.8,yes,>60 min,no,coaching,78.7,64.1,81.9,73.0,c,74.9,Safe,Medium
184,18,other,private,diploma,7.7,56.6,yes,30-60 min,no,textbook,79.1,89.3,98.0,81.5,c,88.8,Safe,High
185,16,other,private,no formal,2.5,96.6,yes,15-30 min,no,mixed,50.3,47.4,61.8,59.7,d,53.166666666666664,Needs Improvement,Medium
186,16,other,public,no formal,3.0,57.3,no,15-30 min,yes,notes,32.5,39.6,41.6,38.6,f,37.9,At Risk,Low
187,14,male,private,high school,0.7,99.5,yes,30-60 min,no,coaching,51.7,49.6,46.3,44.7,e,49.20000000000001,Needs Improvement,Low
188,16,other,private,graduate,3.3,79.9,yes,15-30 min,yes,mixed,64.3,47.5,54.3,58.4,d,55.36666666666667,Needs Improvement,Medium
189,15,male,private,graduate,5.6,74.9,yes,<15 min,no,notes,70.4,72.9,55.4,71.8,c,66.23333333333333,Safe,Medium
190,15,female,private,diploma,7.7,59.4,yes,30-60 min,no,group study,65.5,73.4,77.6,76.1,c,72.16666666666667,Safe,Medium
191,18,other,public,graduate,6.1,93.0,yes,30-60 min,no,group study,73.9,92.3,80.2,86.6,b,82.13333333333333,Safe,High
192,17,other,private,high school,1.4,58.6,yes,30-60 min,no,online videos,7.6,32.8,16.7,25.5,f,19.03333333333333,At Risk,Low
193,17,female,private,post graduate,7.2,70.1,yes,15-30 min,yes,textbook,71.1,55.2,78.0,80.1,c,68.10000000000001,Safe,Medium
194,16,male,private,no formal,6.8,52.4,yes,<15 min,no,mixed,90.4,88.5,91.3,84.1,c,90.06666666666666,Safe,High
195,19,female,private,no formal,1.9,51.1,yes,<15 min,yes,online videos,24.7,36.9,36.8,32.5,f,32.8,At Risk,Low
196,14,other,private,phd,7.5,86.5,yes,30-60 min,no,coaching,82.8,100.0,96.6,93.0,b,93.13333333333333,Safe,High
197,16,female,private,diploma,5.9,60.4,yes,<15 min,yes,mixed,62.6,78.9,78.5,71.9,c,73.33333333333333,Safe,Medium
198,14,female,private,graduate,6.4,80.0,yes,30-60 min,yes,coaching,86.3,92.6,94.7,90.7,b,91.19999999999999,Safe,High
199,16,female,public,diploma,3.9,86.2,yes,<15 min,yes,mixed,71.3,56.8,69.7,60.9,d,65.93333333333334,Safe,Medium
200,19,female,public,graduate,2.0,74.6,yes,15-30 min,no,coaching,45.7,43.3,65.7,54.9,e,51.56666666666666,Needs Improvement,Medium
201,16,male,public,post graduate,6.5,82.8,yes,>60 min,yes,online videos,84.0,93.9,98.9,90.0,b,92.26666666666667,Safe,High
202,19,other,private,post graduate,4.1,62.1,yes,15-30 min,no,mixed,38.3,44.0,43.1,50.1,e,41.800000000000004,Needs Improvement,Low
203,16,male,public,high school,7.8,90.9,yes,15-30 min,no,mixed,100.0,92.8,100.0,100.0,a,97.60000000000001,Safe,High
